model,dataset,term,metric,window_idx,n_windows,prediction_bias_mean,prediction_bias_abs_mean,prediction_bias_std
sundial,Coastal_T_S_15T,long,spectral_entropy,18,1,-2207.3385180401015,2207.3385180401015,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,19,1,-2476.3126036646177,2476.3126036646177,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,2,1,-2061.7973628393397,2061.7973628393397,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,3,1,-1842.1366821082856,1842.1366821082856,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,4,1,-1705.0969869718053,1705.0969869718053,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,5,1,-1018.0765232802086,1018.0765232802086,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,6,1,-1707.3811184467731,1707.3811184467731,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,7,1,-2476.7232724173186,2476.7232724173186,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,8,1,-2446.7537674504892,2446.7537674504892,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,9,1,-2397.217694965105,2397.217694965105,0.0
sundial,Coastal_T_S_20T,long,trend_strength,0,1,0.11442558121403823,0.11442558121403823,0.0
sundial,Coastal_T_S_20T,long,trend_strength,1,1,0.0126641748073677,0.0126641748073677,0.0
sundial,Coastal_T_S_20T,long,trend_strength,2,1,0.20044173602530635,0.20044173602530635,0.0
sundial,Coastal_T_S_20T,long,trend_strength,3,1,0.13480044654151158,0.13480044654151158,0.0
sundial,Coastal_T_S_20T,long,trend_strength,4,1,0.02700246254547356,0.02700246254547356,0.0
sundial,Coastal_T_S_20T,long,trend_strength,5,1,-0.004450652619515938,0.004450652619515938,0.0
sundial,Coastal_T_S_20T,long,trend_strength,6,1,0.0051382694237640525,0.0051382694237640525,0.0
sundial,Coastal_T_S_20T,long,trend_linearity,0,1,-0.001322828771921,0.001322828771921,0.0
sundial,Coastal_T_S_20T,long,trend_linearity,1,1,-0.0037169868982482,0.0037169868982482,0.0
sundial,Coastal_T_S_20T,long,trend_linearity,2,1,-0.0012089534778064002,0.0012089534778064002,0.0
sundial,Coastal_T_S_20T,long,trend_linearity,3,1,-0.0018041699684328,0.0018041699684328,0.0
sundial,Coastal_T_S_20T,long,trend_linearity,4,1,-0.0011381599062677,0.0011381599062677,0.0
sundial,Coastal_T_S_20T,long,trend_linearity,5,1,-0.0012919224798674,0.0012919224798674,0.0
