model,dataset,missing_ratio,imputation_method_norm,relative_smape_gain,score_full,score_decile
sundial,Water_Quality_Darwin_15T,0.3,gp_rbf,-0.1055233237272967,0.4938013974879747,4
sundial,Water_Quality_Darwin_15T,0.3,saits,-0.0330654760180869,0.4424330303894025,3
sundial,azure2019_U_5T,0.1,mean,-0.0235827944111046,0.5318557646152194,5
sundial,azure2019_U_5T,0.1,forward,-0.0060584397552444,0.4601197325380644,3
sundial,azure2019_U_5T,0.1,linear,-0.013665818994986,0.642797108130717,8
sundial,azure2019_U_5T,0.1,gp_rbf,-0.0318454203183148,0.6416850898121201,8
sundial,azure2019_U_5T,0.1,saits,-0.035254116283818,0.6026725878813105,7
sundial,azure2019_U_5T,0.2,mean,-0.0047139854942035,0.4608939152278442,3
sundial,azure2019_U_5T,0.2,forward,-0.0188573653356345,0.5176079708143559,5
sundial,azure2019_U_5T,0.2,linear,-0.0201357340530691,0.502843585852372,5
sundial,azure2019_U_5T,0.2,gp_rbf,-0.0290051788806835,0.550295772088835,6
sundial,azure2019_U_5T,0.2,saits,-0.0453901427884014,0.5667175252013279,6
sundial,azure2019_U_5T,0.3,mean,-0.0224685544612396,0.5029974363751483,5
sundial,azure2019_U_5T,0.3,forward,-3.202637219669019e-05,0.7756604960142292,9
sundial,azure2019_U_5T,0.3,linear,-0.0078018426432669,0.5278805394767347,5
sundial,azure2019_U_5T,0.3,gp_rbf,-0.018860921336458,0.3541855157010403,1
sundial,azure2019_U_5T,0.3,saits,-0.0653526416126727,0.7114945484705565,8
sundial,current_velocity_15T,0.1,mean,0.3028738073472137,1.0332306841286507,10
sundial,current_velocity_15T,0.1,forward,0.0098896752187709,0.6320593637466553,7
sundial,current_velocity_15T,0.1,linear,0.0374165544555599,0.6275337035604039,7
sundial,current_velocity_15T,0.1,gp_rbf,-0.0069720059905272,0.6061559848519296,7
sundial,current_velocity_15T,0.1,saits,-0.0162015875691147,0.6497756081093623,8
sundial,current_velocity_15T,0.2,mean,-0.0182735982874859,1.3103348824226633,10
sundial,current_velocity_15T,0.2,forward,-0.0293041515883932,0.4704248029736899,4
sundial,current_velocity_15T,0.2,linear,0.0656259635388188,0.5548409687250877,6
sundial,current_velocity_15T,0.2,gp_rbf,-0.0512827915982001,0.5295566894756044,5
sundial,current_velocity_15T,0.2,saits,-0.0948456635625303,0.4153186113726625,2
sundial,current_velocity_15T,0.3,mean,0.3155301134189325,1.4750742484480837,10
sundial,current_velocity_15T,0.3,forward,0.0942196753619296,0.53323253917449,5
sundial,current_velocity_15T,0.3,linear,0.1088187283254517,0.4869821995928232,4
sundial,current_velocity_15T,0.3,gp_rbf,0.0535789839273753,0.534605249425005,6
sundial,current_velocity_15T,0.3,saits,-0.0316496674809867,0.4837230770546188,4
sundial,current_velocity_20T,0.1,mean,0.0292530711339697,0.4101491868028487,2
sundial,current_velocity_20T,0.1,forward,0.021657648642215,0.3538778347020022,1
sundial,current_velocity_20T,0.1,linear,0.003497983923343,0.4795069434498675,4
sundial,current_velocity_20T,0.1,gp_rbf,0.0180904351471653,0.3981407259010371,2
sundial,current_velocity_20T,0.1,saits,0.0133827154623527,0.5664654156374087,6
sundial,current_velocity_20T,0.2,mean,0.008290900864967,0.3316162239163314,1
sundial,current_velocity_20T,0.2,forward,0.0240266873062371,0.6282812300962172,7
sundial,current_velocity_20T,0.2,linear,-0.0160127319302861,0.2637456883592058,1
sundial,current_velocity_20T,0.2,gp_rbf,-0.0077459322050173,0.3000771026511658,1
sundial,current_velocity_20T,0.2,saits,-0.0109911261834208,0.2753305539427746,1
sundial,current_velocity_20T,0.3,mean,0.0407983331151264,0.5433594233425452,6
sundial,current_velocity_20T,0.3,forward,0.0598623346164697,0.6561304107276922,8
sundial,current_velocity_20T,0.3,linear,0.03459710443032,0.2562987203919532,1
sundial,current_velocity_20T,0.3,gp_rbf,0.0397857588215272,0.4644918331727574,3
sundial,current_velocity_20T,0.3,saits,0.0562357387422312,0.2579460569865177,1
sundial,current_velocity_5T,0.1,mean,0.0435695827483381,0.5591967486666053,6
sundial,current_velocity_5T,0.1,forward,-0.0013147211353729,0.6125475607163976,7
sundial,current_velocity_5T,0.1,linear,0.000890702236995,0.6236075710732838,7
sundial,current_velocity_5T,0.1,gp_rbf,0.0557013804243733,0.5405039461243465,6
sundial,current_velocity_5T,0.1,saits,0.0634919072120625,0.5229194688577726,5
sundial,current_velocity_5T,0.2,mean,0.2898976512897459,0.960926101345911,9
sundial,current_velocity_5T,0.2,forward,0.2239239864077656,0.8312381026503539,9
sundial,current_velocity_5T,0.2,linear,0.0609162877736184,0.4211248831002277,2
sundial,current_velocity_5T,0.2,gp_rbf,0.3091570359897527,0.8964149242643172,9
sundial,current_velocity_5T,0.2,saits,0.2665897393990352,0.5018471733598908,5
sundial,current_velocity_5T,0.3,mean,0.4235325237591703,1.1109238858416914,10
sundial,current_velocity_5T,0.3,forward,0.2217546637156,1.0814326149288649,10
sundial,current_velocity_5T,0.3,linear,0.128782284674211,0.3804497374397492,2
sundial,current_velocity_5T,0.3,gp_rbf,0.436603595496473,1.0539447888331788,10
sundial,current_velocity_5T,0.3,saits,0.4157052399152749,0.4796838122487081,4
sundial,current_velocity_H,0.1,mean,0.0109723430839739,0.5597143693330827,6
sundial,current_velocity_H,0.1,forward,-0.0181053981797009,0.4160437529730043,2
sundial,current_velocity_H,0.1,linear,-0.017292626403921,0.485335161607344,4
sundial,current_velocity_H,0.1,gp_rbf,-0.0028750113036748,0.5843123985765929,7
sundial,current_velocity_H,0.1,saits,-0.0035687586860714,0.6512254377128309,8
sundial,current_velocity_H,0.2,mean,0.0131514517560984,0.297600432103127,1
sundial,current_velocity_H,0.2,forward,-0.0113407692667057,0.3399327519903826,1
sundial,current_velocity_H,0.2,linear,0.0194902520053909,0.3958506229365749,2
sundial,current_velocity_H,0.2,gp_rbf,0.0023871357488535,0.369178482617904,1
sundial,current_velocity_H,0.2,saits,0.0042915563986053,0.4662052933932722,3
sundial,current_velocity_H,0.3,mean,0.0178283120631996,0.9175188296998324,9
sundial,current_velocity_H,0.3,forward,0.0303694336858217,0.8189004585078085,9
sundial,current_velocity_H,0.3,linear,0.0503412169210614,0.7843401436307621,9
sundial,current_velocity_H,0.3,gp_rbf,0.0426432437021873,0.6084769067546133,7
sundial,current_velocity_H,0.3,saits,-0.0015010551462386,0.2338162090617802,1
sundial,electricity,0.1,mean,0.220204351445015,0.5167968543947049,5
sundial,electricity,0.1,forward,0.2302126384324346,0.5253534877451345,5
sundial,electricity,0.1,linear,0.1998186913138302,0.5531122773167773,6
sundial,electricity,0.1,gp_rbf,0.2045488525674584,0.5648047377413803,6
sundial,electricity,0.1,saits,0.1311603335626645,0.6724684613579451,8
sundial,electricity,0.2,mean,0.3404651859729719,0.3227490243261199,1
sundial,electricity,0.2,forward,0.3394335062910753,0.4298909446026892,2
sundial,electricity,0.2,linear,0.3635994031907186,0.3527786206211671,1
sundial,electricity,0.2,gp_rbf,0.3944662659309797,0.3406719540539784,1
sundial,electricity,0.2,saits,0.1270829347447708,0.6452493297434571,8
sundial,electricity,0.3,mean,0.5315600642127317,0.5624170116471227,6
sundial,electricity,0.3,forward,0.5389701293848168,0.4175364968009882,2
sundial,electricity,0.3,linear,0.5248174898377048,0.4048301155403508,2
sundial,electricity,0.3,gp_rbf,0.5966718654492927,0.3790560696904204,2
sundial,electricity,0.3,saits,0.2471036202348679,0.4650935530126661,3
sundial,exchange_rate,0.1,mean,-0.0047654445017229,0.5075168431392805,5
sundial,exchange_rate,0.1,forward,-0.0575142280621107,0.6134804026633581,7
sundial,exchange_rate,0.1,linear,0.0635140085610305,0.6383136369563419,8
sundial,exchange_rate,0.1,gp_rbf,0.0373079273973316,0.6107131588276585,7
sundial,exchange_rate,0.1,saits,-0.0395701979071555,0.6454728485718492,8
sundial,exchange_rate,0.2,mean,-0.0036829661335857,0.5616579254699037,6
sundial,exchange_rate,0.2,forward,-0.0484196201312631,0.5204397341673244,5
sundial,exchange_rate,0.2,linear,0.0480476422001223,0.5441161001721612,6
sundial,exchange_rate,0.2,gp_rbf,-0.0452043758440386,0.5570020388142422,6
sundial,exchange_rate,0.2,saits,-0.015448016461325,0.6562209140505443,8
sundial,exchange_rate,0.3,mean,0.0134429236315902,0.7345564776611945,8
sundial,exchange_rate,0.3,forward,0.0139707187233549,0.5211970309730171,5
