dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean
ETTh1,long,010,backward,5,1.7745783725673472,126.25716674413796,7.546506822246158
ETTh1,long,010,backward,6,2.5425607835942095,63.62054787520993,-4.647686196942978
ETTh1,long,010,backward,7,1.4780179427454834,185.46704371752898,-3.907088158516302
ETTh1,long,010,backward,8,1.6634463768495407,200.0,0.0
ETTh1,long,010,backward,9,1.6442718027493137,200.0,0.0
ETTh1,long,010,backward,10,1.6402237181395805,200.0,0.0
ETTh1,long,010,backward,11,1.9218336094350914,198.59581140229972,0.7395972791829593
ETTh1,long,010,backward,12,1.7475071866731737,16.7407963040002,-15.87457692316223
ETTh1,long,010,backward,13,1.5357229768540794,48.62676571935487,-6.3581247780680386
ETTh1,long,010,backward,14,1.6552137150541903,34.7767264322231,-3.525616863169091
ETTh1,long,020,backward,0,1.2608138194340837,16.904961360234267,-6.245273408709473
ETTh1,long,020,backward,1,1.7612422126751595,70.27328735269194,2.8402716841508493
ETTh1,long,020,backward,2,1.7536549523678264,110.57808975731136,-3.2414592596003757
ETTh1,long,020,backward,3,1.5255546448738868,122.42307156423786,-2.874024405328427
ETTh1,long,020,backward,4,1.5708343817819188,157.836132522685,-0.7574719900057687
ETTh1,long,020,backward,5,1.533507950265242,110.6552573563401,-8.055402565551702
ETTh1,long,020,backward,6,2.478435362478659,62.22711040887856,-6.041123663274348
ETTh1,long,020,backward,7,1.4523566920082864,182.21708265717407,-7.157049218871208
ETTh1,long,020,backward,8,1.7797564526221445,199.9820678779646,-0.017932122035404063
ETTh1,long,020,backward,9,1.9469481694998363,200.0,0.0
ETTh1,long,020,backward,10,1.6256536195491613,200.0,0.0
ETTh1,long,020,backward,11,1.7871803006659803,190.3183796557843,-7.537834467332459
ETTh1,long,020,backward,12,1.2081559797416217,46.45738502719668,13.84201180003425
ETTh1,long,020,backward,13,1.6644621849845498,38.046862639227385,-16.938027858195525
ETTh1,long,020,backward,14,1.3075643005339654,24.372770618094457,-13.929572677297735
ETTh1,long,030,backward,0,1.3898721626792454,16.07006410800764,-7.080170660936101
ETTh1,long,030,backward,1,2.2858568047425956,48.12875234057737,-19.304263327963717
ETTh1,long,030,backward,2,1.3520748067624384,111.20178720487776,-2.617761812033976
ETTh1,long,030,backward,3,1.4622776730425273,117.51219525792376,-7.784900711642521
ETTh1,long,030,backward,4,1.2106182427956582,157.3416366595614,-1.251967853129372
ETTh1,long,030,backward,5,1.6788828143658066,114.86562182187265,-3.8450381000191527
ETTh1,long,030,backward,6,2.439860144125252,34.530580165107175,-33.73765390704573
ETTh1,long,030,backward,7,1.7341368709239768,170.30367315107193,-19.07045872497335
ETTh1,long,030,backward,8,2.0062305915537397,200.0,0.0
