model,dataset,method,missing_ratio,mse_change_pct,class
Chronos-2,NE_China_Wind_H,linear,0.2,5.12425663542558,strictly increasing
Chronos-2,NE_China_Wind_H,linear,0.3,7.402089978659686,strictly increasing
Chronos-2,NE_China_Wind_H,mean,0.1,-7.05736801688728,strictly increasing
Chronos-2,NE_China_Wind_H,mean,0.2,0.10941040465750476,strictly increasing
Chronos-2,NE_China_Wind_H,mean,0.3,23.941062074305382,strictly increasing
Chronos-2,NE_China_Wind_H,saits,0.1,-5.7527461104245035,strictly increasing
Chronos-2,NE_China_Wind_H,saits,0.2,-1.924917093580021,strictly increasing
Chronos-2,NE_China_Wind_H,saits,0.3,1.1554299063201452,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,backward,0.1,-3.043742972221463,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,backward,0.2,12.065770320885262,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,backward,0.3,40.09773589579997,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,forward,0.1,-1.3140138711662512,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,forward,0.2,36.20411093935239,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,forward,0.3,58.4802300954081,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,gp_rbf,0.1,2.413219449384157,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,gp_rbf,0.2,28.062496323496127,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,gp_rbf,0.3,80.9993001209287,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,kalman_arima,0.1,11.288940751160647,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,kalman_arima,0.2,27.523326002950242,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,kalman_arima,0.3,98.13035009083794,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,kalman_struct,0.1,2.8560904680132904,non-monotonic
Chronos-2,OpenElectricity_NEM_5T,kalman_struct,0.2,15.816847536516176,non-monotonic
Chronos-2,OpenElectricity_NEM_5T,kalman_struct,0.3,14.966085665933626,non-monotonic
Chronos-2,OpenElectricity_NEM_5T,linear,0.1,2.2691633521570367,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,linear,0.2,13.209395560140823,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,linear,0.3,13.53155783649626,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,mean,0.1,24.379883811165712,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,mean,0.2,35.2531094031394,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,mean,0.3,117.6458107793962,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,saits,0.1,6.756974186417971,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,saits,0.2,13.579132432759563,strictly increasing
Chronos-2,OpenElectricity_NEM_5T,saits,0.3,29.324611817754015,strictly increasing
Chronos-2,Port_Activity_D,backward,0.1,0.9234014123251563,strictly decreasing
Chronos-2,Port_Activity_D,backward,0.2,-3.690346707212004,strictly decreasing
Chronos-2,Port_Activity_D,backward,0.3,-3.6997096869326813,strictly decreasing
Chronos-2,Port_Activity_D,forward,0.1,1.1725811621642352,non-monotonic
Chronos-2,Port_Activity_D,forward,0.2,-2.0256480413219946,non-monotonic
Chronos-2,Port_Activity_D,forward,0.3,-0.005078088063560884,non-monotonic
Chronos-2,Port_Activity_D,gp_rbf,0.1,0.02151936679018069,strictly decreasing
Chronos-2,Port_Activity_D,gp_rbf,0.2,-2.4576820396806442,strictly decreasing
Chronos-2,Port_Activity_D,gp_rbf,0.3,-5.666670912354108,strictly decreasing
Chronos-2,Port_Activity_D,kalman_arima,0.1,-0.5212238109088901,strictly decreasing
Chronos-2,Port_Activity_D,kalman_arima,0.2,-5.984564334279408,strictly decreasing
Chronos-2,Port_Activity_D,kalman_arima,0.3,-14.377788647005355,strictly decreasing
Chronos-2,Port_Activity_D,kalman_struct,0.1,-0.6287861481758255,non-monotonic
Chronos-2,Port_Activity_D,kalman_struct,0.2,12.979633497613213,non-monotonic
Chronos-2,Port_Activity_D,kalman_struct,0.3,12.048058871761311,non-monotonic
Chronos-2,Port_Activity_D,linear,0.1,0.6685659396675661,non-monotonic
Chronos-2,Port_Activity_D,linear,0.2,2.7792999668501057,non-monotonic
Chronos-2,Port_Activity_D,linear,0.3,-4.354006985404613,non-monotonic
Chronos-2,Port_Activity_D,mean,0.1,-0.5088605289824867,strictly decreasing
Chronos-2,Port_Activity_D,mean,0.2,-6.428806436317884,strictly decreasing
Chronos-2,Port_Activity_D,mean,0.3,-14.808219032624844,strictly decreasing
Chronos-2,Port_Activity_D,saits,0.1,-1.900221877556722,strictly increasing
Chronos-2,Port_Activity_D,saits,0.2,2.7973620782421977,strictly increasing
Chronos-2,Port_Activity_D,saits,0.3,3.863518952723128,strictly increasing
Chronos-2,Supply_Chain_Customer_D,backward,0.1,13.51342438692464,non-monotonic
Chronos-2,Supply_Chain_Customer_D,backward,0.2,105.26343491762174,non-monotonic
Chronos-2,Supply_Chain_Customer_D,backward,0.3,51.70656639583727,non-monotonic
Chronos-2,Supply_Chain_Customer_D,forward,0.1,7.537322099026033,non-monotonic
Chronos-2,Supply_Chain_Customer_D,forward,0.2,67.32371082378498,non-monotonic
Chronos-2,Supply_Chain_Customer_D,forward,0.3,23.491782215604708,non-monotonic
Chronos-2,Supply_Chain_Customer_D,gp_rbf,0.1,8.712016477588122,non-monotonic
Chronos-2,Supply_Chain_Customer_D,gp_rbf,0.2,74.19961744009868,non-monotonic
Chronos-2,Supply_Chain_Customer_D,gp_rbf,0.3,39.060351018329996,non-monotonic
Chronos-2,Supply_Chain_Customer_D,kalman_arima,0.1,8.216519175428367,non-monotonic
Chronos-2,Supply_Chain_Customer_D,kalman_arima,0.2,52.425321530433045,non-monotonic
Chronos-2,Supply_Chain_Customer_D,kalman_arima,0.3,29.53524361770136,non-monotonic
Chronos-2,Supply_Chain_Customer_D,kalman_struct,0.1,17.142687194317258,non-monotonic
Chronos-2,Supply_Chain_Customer_D,kalman_struct,0.2,98.6980702498783,non-monotonic
Chronos-2,Supply_Chain_Customer_D,kalman_struct,0.3,43.48322381150142,non-monotonic
Chronos-2,Supply_Chain_Customer_D,linear,0.1,12.255872326395618,non-monotonic
Chronos-2,Supply_Chain_Customer_D,linear,0.2,77.4913362562682,non-monotonic
Chronos-2,Supply_Chain_Customer_D,linear,0.3,31.947095922225362,non-monotonic
Chronos-2,Supply_Chain_Customer_D,mean,0.1,7.004105726045508,non-monotonic
Chronos-2,Supply_Chain_Customer_D,mean,0.2,55.25880567989876,non-monotonic
Chronos-2,Supply_Chain_Customer_D,mean,0.3,34.39435889017986,non-monotonic
Chronos-2,Supply_Chain_Customer_D,saits,0.1,13.150958497035987,non-monotonic
Chronos-2,Supply_Chain_Customer_D,saits,0.2,68.86210139461772,non-monotonic
Chronos-2,Supply_Chain_Customer_D,saits,0.3,37.86883904551073,non-monotonic
Chronos-2,Supply_Chain_Location_D,backward,0.1,29.824072919209975,strictly increasing
Chronos-2,Supply_Chain_Location_D,backward,0.2,41.247122348037976,strictly increasing
Chronos-2,Supply_Chain_Location_D,backward,0.3,52.362443989272464,strictly increasing
Chronos-2,Supply_Chain_Location_D,forward,0.1,59.1842443606739,strictly decreasing
Chronos-2,Supply_Chain_Location_D,forward,0.2,52.1521908766122,strictly decreasing
Chronos-2,Supply_Chain_Location_D,forward,0.3,40.27289175458616,strictly decreasing
Chronos-2,Supply_Chain_Location_D,gp_rbf,0.1,33.12353471612714,non-monotonic
Chronos-2,Supply_Chain_Location_D,gp_rbf,0.2,28.86630948521533,non-monotonic
Chronos-2,Supply_Chain_Location_D,gp_rbf,0.3,40.62968025791555,non-monotonic
Chronos-2,Supply_Chain_Location_D,kalman_arima,0.1,31.194725998529638,strictly increasing
Chronos-2,Supply_Chain_Location_D,kalman_arima,0.2,42.53499301165663,strictly increasing
