基础模型,数据集,缺失率,填补方法,填补误差指标(MSE),填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,0.3,均值,,79.20578125,0.036984503,0.426056019,-0.001746934,0.45852355,0.528378693,0.741116703,17127.75914,
,,,前项,,81.28581597,0.037631349,0.557030673,-0.002817246,0.429955635,0.532203887,0.770613459,17082.22471,
,,,后向,,75.88986111,0.036399053,0.596218443,-0.003433295,0.386367346,0.501919966,0.736113832,17116.03812,
,,,线性,,77.59841146,0.036767175,0.586939711,-0.003113406,0.433881958,0.511919686,0.732273336,17001.83436,
chronos2,electricity,0,/,,101470.1867,0.066555956,0.752800011,-0.004196224,0.635437228,0.822013433,0.804049285,74111.07143,
,,0.1,均值,,101910.3644,0.066310883,0.735998406,-0.004946007,0.602937942,0.799574065,0.803936898,74458.38555,
,,,前项,,106545.1556,0.067803315,0.759479569,-0.006643312,0.600331231,0.791307959,0.809551922,74414.12,
,,,后向,,99702.62222,0.064996724,0.756980324,-0.007114333,0.592692604,0.775465212,0.806372058,74415.46373,
,,,线性,,100633.2089,0.065097283,0.751242135,-0.007160607,0.592116417,0.786793804,0.812226172,74269.30069,
,,0.2,均值,,101508.0089,0.067760925,0.708015557,-0.00163678,0.541541939,0.729590931,0.79514837,74765.33583,
,,,前项,,113124.8178,0.071098489,0.765058166,-0.005045201,0.518612168,0.70234611,0.817867381,74589.31417,
,,,后向,,118942.1956,0.072347649,0.768248583,-0.002832793,0.524420035,0.714218035,0.815174327,74636.3181,
,,,线性,,121175.6978,0.073358163,0.769808371,-0.004462129,0.53440053,0.722218002,0.827908655,74246.7527,
