基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,后向,6.950128873,58.00384838,0.261778565,0.874595589,0.001182105,0.441788134,0.641854575,0.889690514,10542.35612
,,,线性,5.867376455,58.71743056,0.267931451,0.884661673,0.001211783,0.46491021,0.622083725,0.90003496,9877.987644
,,,kalman_struct,10.268794648,70.79430556,0.302704426,0.869061881,0.001117275,0.28247913,0.488475764,0.913448651,9952.613762
,,,kalman_arima,9.976606417,51.79347801,0.253923125,0.784419307,0.000814671,0.319633254,0.572265593,0.899631629,10830.06566
,,,gp_rbf,5.593978945,60.7521875,0.268014832,0.874849409,0.0012753,0.483475906,0.586295452,0.878771427,10587.40459
,,,saits,4.045131159,56.07596644,0.262956612,0.91528342,0.001222329,0.718735386,0.933332358,0.885828675,10240.1949
sundial,EWELD_Load_15T,0,/,/,4472.667901,0.49704134,0.307142992,-0.001585255,0.91004827,0.97316305,0.659256652,20241.87581
,,0.1,均值,10.281136857,4975.469136,0.560844666,0.214499329,-0.000688285,0.821234932,0.961845728,0.809783499,20440.33311
,,,前项,11.242820899,4938.280247,0.545340983,0.190286912,-0.001321253,0.737042107,0.960270835,0.857146399,20586.71221
,,,后向,11.402937214,5284.625926,0.567502961,0.14526962,-0.000886595,0.713562742,0.967571966,0.891065737,20583.00237
,,,线性,8.243117558,4648.194753,0.531337032,0.264901692,-0.000744619,0.855832322,0.970788843,0.801027825,20255.63816
,,,kalman_struct,9.554169297,4757.745679,0.552232999,0.255408057,-0.000892743,0.858368125,0.973055572,0.824378263,20258.38574
,,,kalman_arima,9.177945614,4688.404012,0.536265301,0.259931411,-0.000932874,0.855688244,0.969332007,0.796043912,20266.45582
,,,gp_rbf,10.35583512,5199.128395,0.56296404,0.229045326,-0.000149117,0.816644884,0.957739216,0.815889149,20430.88342
,,,saits,7.2392742,4625.325309,0.511278128,0.342804126,-0.000888013,0.904949206,0.974802702,0.689680352,20165.56309
,,0.2,均值,18.38294824,5284.574074,0.6018621,0.163154573,-0.001522747,0.740836722,0.9171549,0.818018073,20553.77023
,,,前项,19.415597214,6575.244444,0.622796593,0.146458444,-0.001088235,0.578009086,0.917383207,0.898046708,20786.47658
,,,后向,20.897051692,6047.610494,0.612048754,0.170299819,-0.002314995,0.594831808,0.931465205,0.898672825,20770.85043
,,,线性,14.74256138,5087.280864,0.556526316,0.24034366,-0.001606196,0.799808396,0.956644273,0.841470776,20249.55749
,,,kalman_struct,14.562183996,4770.533642,0.543984817,0.218864643,-0.000615695,0.805100576,0.961836741,0.853009384,20257.02055
,,,kalman_arima,15.886039495,4975.262963,0.564884346,0.23209726,-0.001978006,0.810094877,0.954849021,0.824825666,20254.15124
,,,gp_rbf,19.1369253,5680.62284,0.610002746,0.180068704,-0.002255764,0.711064402,0.911797493,0.832474066,20555.63035
,,,saits,11.866066456,4766.077778,0.524589916,0.346909402,-0.002311715,0.902759354,0.969048535,0.721223661,20101.53183
,,0.3,均值,28.393443108,5978.19321,0.688255103,0.217455765,-0.00153741,0.703105501,0.871309715,0.851661388,20618.3976
,,,前项,31.369299571,6645.945679,0.681079629,0.172465116,-0.003143556,0.466797575,0.889183654,0.914665521,20890.83043
,,,后向,32.586006271,9193.401235,0.736432638,0.165432919,-0.000284679,0.436718209,0.859077183,0.909415832,20897.5994
,,,线性,24.038166444,5525.459259,0.63119439,0.272517435,-0.001474438,0.718303485,0.928127028,0.885313746,20179.16685
,,,kalman_struct,24.295489232,5666.437037,0.612922527,0.216651405,-0.000986624,0.764643642,0.945157236,0.888719721,20191.73954
,,,kalman_arima,25.53672123,5610.659259,0.651147842,0.282510667,-0.001595715,0.765404924,0.921647663,0.853998357,20188.61314
,,,gp_rbf,29.097875489,5950.644444,0.680280248,0.2828819,-0.001734138,0.674646634,0.859909582,0.846713129,20617.9309
,,,saits,19.049333387,4542.475926,0.54652473,0.303221717,-0.001470774,0.868099883,0.957371333,0.7911617,20010.54449
sundial,Finland_Traffic_15T,0,/,/,1527.135556,0.314821642,0.052232199,-0.004217746,0.835262348,0.95340922,0.808502368,19027.58616
,,0.1,均值,6.620169491,1834.590694,0.317609253,0.053433477,-0.004253519,0.754101542,0.945272331,0.858893458,19308.90247
,,,前项,9.045182192,1983.904722,0.335324504,0.046020939,-0.00455407,0.655253531,0.939394965,0.899769541,19527.99564
,,,后向,8.398400831,2247.727639,0.341006232,0.059734265,-0.004353034,0.696917314,0.948541399,0.88750157,19523.65038
,,,线性,5.375844842,1777.950833,0.314973755,0.073973275,-0.00390478,0.792157995,0.94727737,0.847653592,19017.95918
,,,kalman_struct,5.319719809,1685.495417,0.314744127,0.061905427,-0.0038419,0.816261477,0.947259109,0.835852838,19004.08574
,,,kalman_arima,6.241896737,1814.323611,0.314617384,0.056562826,-0.004289329,0.767942189,0.9480244,0.861235973,19085.84517
,,,gp_rbf,6.673173988,1845.148611,0.315874503,0.056835116,-0.004039047,0.750262734,0.943340443,0.859043245,19293.31866
,,,saits,3.820387077,1744.026389,0.304672363,0.072016957,-0.004033217,0.820347737,0.95390865,0.838995743,19017.94638
,,0.2,均值,14.88346777,2504.966944,0.37987854,0.080197735,-0.003465643,0.701307884,0.896821203,0.870675058,19480.42743
,,,前项,18.343095803,3186.538889,0.405838725,0.130101041,-0.002315649,0.569189396,0.866906703,0.905355033,19781.71247
,,,后向,19.209897876,3016.326944,0.380653822,0.098256722,-0.004342683,0.560818909,0.894357295,0.913132815,19744.05804
,,,线性,12.40480383,2168.8425,0.346780124,0.115116641,-0.004313747,0.720291741,0.934419082,0.886934069,18979.14597
