基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,,预测窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,kalman_arima,28.28224521,585.6370139,0.363025335,0.052700095,0.002162481,0.072423794,0.447072646,0.803524326,13695.1434,0.458294079,-0.00155664,0.812098391,0.599294758,0.729415123,1914.284453
,,,gp_rbf,7.451654235,549.4882292,0.228972082,0.352731185,0.002155397,0.261430117,0.361750865,0.727145079,9297.12224,0.699860247,-0.001633147,0.873594864,0.773890649,0.711963488,470.0756839
,,,saits,5.959862697,603.6970139,0.230414337,0.320187045,0.001473919,0.245064291,0.397613885,0.713601395,9158.404517,0.582374256,-0.001550434,0.871504789,0.843908298,0.723653565,166.1690279
sundial,Coastal_T_S_H,0,/,/,1428.203299,0.445562744,0.444196093,-0.001701469,0.159729263,0.04354439,0.025201183,17393.09274,0.501157768,0.012889943,0.244537663,0.220325745,0.104119218,1968.971174
,,0.1,均值,6.199669465,1293.918576,0.460096826,0.436342789,-0.001095044,0.14704405,0.042851917,0.112821193,17381.63014,0.570621537,0.00052007,0.215711374,0.268936329,0.154813769,1830.576966
,,,前项,0.724893979,1297.532118,0.42940055,0.493891689,-0.001666603,0.144452223,0.037440289,0.083323811,17321.86471,0.703516369,0.009358501,0.238972516,0.295275265,0.12249395,1974.47315
,,,后向,0.632467507,1241.965799,0.419710371,0.50690574,-0.001280923,0.145831907,0.04291884,0.106534741,17330.78944,0.696246392,0.00892138,0.236427818,0.256249746,0.104800087,2019.696226
,,,线性,0.656831312,1296.848785,0.425386641,0.473016929,-0.001524324,0.148667316,0.042437006,0.092359683,17308.04423,0.71821712,0.00876959,0.236158329,0.325762739,0.150865172,2001.701503
,,,kalman_struct,0.812665626,1283.378125,0.429164822,0.520698296,-0.001598907,0.153463728,0.040404674,0.075614868,17335.89809,0.808537312,0.008090975,0.26452162,0.329778828,0.134835599,2051.479791
,,,kalman_arima,1.721181747,1212.119271,0.429817641,0.453044584,-0.001614094,0.15411873,0.05129411,0.083250692,17293.37797,0.653150615,0.005231734,0.26567994,0.303018771,0.12352524,1954.147379
,,,gp_rbf,0.851538349,1246.410069,0.417195588,0.443865437,-0.001701553,0.142534098,0.043147982,0.078661003,17282.85929,0.64545786,0.006871022,0.225868682,0.253441047,0.122938503,1967.468956
,,,saits,1.098824156,1169.360069,0.399882702,0.443817599,-0.001634183,0.156070831,0.045124599,0.060621721,17286.28004,0.605206497,0.006494534,0.232020829,0.23981585,0.132141695,1950.403423
,,0.2,均值,8.883954614,1151.609462,0.412319099,0.432678842,-0.000740936,0.100948274,0.051841023,0.149605093,17185.64394,0.60689846,0.003947069,0.22572359,0.225317102,0.156663164,1997.523781
,,,前项,2.432929076,1245.295139,0.436442312,0.601859333,-0.001423929,0.111741267,0.051845637,0.142192923,17138.10331,0.764070772,0.004541856,0.26845443,0.291178174,0.173550534,2051.474536
,,,后向,2.319418116,1288.26224,0.438405991,0.531370856,-0.001733628,0.111451383,0.056174149,0.128002166,17104.88923,0.743893429,0.006801673,0.263666425,0.26818671,0.130195742,2041.897884
,,,线性,2.155556438,1247.221094,0.426805539,0.552833562,-0.001676832,0.100721795,0.053074376,0.096635027,17113.33431,0.745813339,0.004439893,0.254541838,0.277506097,0.144730724,2015.860034
,,,kalman_struct,2.990179516,1201.825347,0.430302306,0.68165811,-0.001482259,0.093321566,0.044976162,0.149232472,17149.48792,0.875692145,-0.000448064,0.281464854,0.334430614,0.222084802,2017.280501
,,,kalman_arima,2.977870166,1175.003733,0.408989342,0.474322893,-0.001590619,0.101966542,0.044134165,0.117719054,17075.41382,0.690211649,0.001988113,0.245178586,0.292622021,0.108269101,1943.792091
,,,gp_rbf,2.0012403,1209.969271,0.412543973,0.450685865,-0.001546084,0.100401045,0.055352872,0.067654535,17051.1357,0.626166509,0.005191784,0.234899453,0.239663048,0.081364614,1939.327379
,,,saits,2.469025642,1233.695399,0.418103041,0.442870466,-0.001579255,0.103221775,0.06386463,0.103412121,17052.2589,0.61963772,0.007750066,0.23484819,0.273666325,0.095670628,2012.418099
,,0.3,均值,14.50420156,1239.457726,0.498478105,0.400199516,-0.001034822,0.08966326,0.053472835,0.191513066,17201.23634,0.626839146,-0.00358617,0.259821063,0.272590406,0.311243548,1883.383188
,,,前项,3.255627336,1261.94592,0.444628652,0.549464685,-0.002183398,0.076829019,0.052798807,0.149538263,17033.38935,0.834683134,0.005211343,0.289778799,0.355247492,0.192437361,2036.848272
,,,后向,3.731844679,1240.213802,0.428635407,0.53980315,-0.001826576,0.089366072,0.048861252,0.085040468,16993.40728,0.840778885,0.003334997,0.254354702,0.298727845,0.136111606,2004.105726
,,,线性,3.070783706,1226.536719,0.446143214,0.51655284,-0.002045088,0.089072063,0.051193311,0.042708708,16916.82547,0.805169425,0.003734358,0.268724047,0.315019605,0.157763892,2104.526879
,,,kalman_struct,4.177084643,1252.021094,0.452059909,0.612898895,-0.001960238,0.086240954,0.045361594,0.104945452,16950.98466,0.890094759,0.004111688,0.277424819,0.389521716,0.264672989,2103.468362
,,,kalman_arima,4.21242319,1183.127344,0.439475848,0.465526728,-0.00177821,0.107303044,0.049297396,0.015842748,16872.20043,0.684887845,0.004392258,0.24455051,0.312475181,0.181474727,2081.173875
,,,gp_rbf,3.143052258,1197.210069,0.419161903,0.453094202,-0.001849541,0.092284208,0.048609731,0.035281356,16881.58394,0.613329307,0.00608757,0.250176836,0.222366872,0.118397994,2031.82578
,,,saits,3.877199134,1194.517014,0.421567961,0.443358722,-0.001683324,0.133328916,0.063404687,0.030376864,16901.9553,0.611553825,0.004942405,0.236792363,0.26996677,0.084345133,1936.805939
sundial,ETTh1,0,/,/,15.23654803,0.34896715,0.88547692,8.35E-05,0.320024908,0.551759829,0.779567152,9984.178955,0.982935182,0.000581486,0.967345283,0.9933061,0.81981161,752.9813642
,,0.1,均值,4.900196663,16.71255787,0.362986835,0.868191015,0.000135768,0.227261707,0.48152269,0.796263999,10195.41347,0.981344308,-3.11E-05,0.956951052,0.989912278,0.828133777,809.7300473
,,,前项,2.810659409,14.85639612,0.341189304,0.881567401,0.000110058,0.263651049,0.487029095,0.78620941,9915.514499,0.983275068,0.000140312,0.974336786,0.992889862,0.795628414,777.4476025
,,,后向,2.638155995,16.14690249,0.361545772,0.881344955,0.000103697,0.268638281,0.475716812,0.786955621,9914.483421,0.977844444,0.000395988,0.968540493,0.992908853,0.831339578,706.1000732
,,,线性,2.083049528,15.66597801,0.354785563,0.884677144,0.000101871,0.273181176,0.49229206,0.782000551,9867.469141,0.979973655,4.66E-05,0.968883695,0.991279138,0.814664576,760.4287021
,,,kalman_struct,3.258270183,15.3921658,0.348626367,0.887758991,9.31E-05,0.264582887,0.483896977,0.787209249,9874.948996,0.980027194,0.000515448,0.957112317,0.989628707,0.835512477,737.0649819
