model,dataset,metric,n,pearson,spearman,pearson_abs,spearman_abs,pearson_strength,spearman_strength
visiontspp,Port_Activity_D,trend_strength,36,0.3231171702722154,0.4428405759166412,0.3231171702722154,0.4428405759166412,weak,moderate
visiontspp,Supply_Chain_Customer_D,trend_strength,36,0.33823897503929523,0.27207207207207207,0.33823897503929523,0.27207207207207207,weak,weak
visiontspp,Supply_Chain_Location_D,trend_strength,36,0.3652678682120458,0.28906048906048903,0.3652678682120458,0.28906048906048903,weak,weak
visiontspp,Water_Quality_Darwin_15T,trend_strength,192,0.049490123538309304,0.027453001654775794,0.049490123538309304,0.027453001654775794,none,none
visiontspp,current_velocity_15T,trend_strength,180,-0.08409953657921813,-0.010123769252137411,0.08409953657921813,0.010123769252137411,none,none
visiontspp,current_velocity_20T,trend_strength,168,0.06000176667741168,0.02586036717773245,0.06000176667741168,0.02586036717773245,none,none
visiontspp,current_velocity_5T,trend_strength,240,-0.18283001997159534,-0.1627772627217324,0.18283001997159534,0.1627772627217324,none,none
visiontspp,current_velocity_H,trend_strength,60,0.03354786365500426,0.16888024451236455,0.03354786365500426,0.16888024451236455,none,none
visiontspp,electricity,trend_strength,240,-0.09063251692488733,-0.14884459799649297,0.09063251692488733,0.14884459799649297,none,none
visiontspp,exchange_rate,trend_strength,132,-0.2018344690183714,-0.06244097405206284,0.2018344690183714,0.06244097405206284,weak,none
visiontspp,traffic,trend_strength,180,0.07060147852686219,0.06884368859121166,0.07060147852686219,0.06884368859121166,none,none
visiontspp,weather,trend_strength,240,-0.057152555509958625,-0.03429747044219517,0.057152555509958625,0.03429747044219517,none,none
